Sample	Readset	Raw Paired Reads #	Surviving Paired Reads #	Surviving Paired Reads %
NA12878	NA12878_S1_L001	199926151	197274901	98.6739
NA12878	NA12878_S1_L002	196779406	194265429	98.7224
NA12878	NA12878_S1_L003	198734315	196196656	98.7231
NA12878	NA12878_S1_L004	197606617	195013207	98.6876
NA12891	NA12891_S1_L005	196621011	194797306	99.0725
NA12891	NA12891_S1_L006	195733015	193809658	99.0174
NA12891	NA12891_S1_L007	196193135	194326013	99.0483
NA12891	NA12891_S1_L008	197254871	195367422	99.0431
NA12892	NA12892_S1_L004	214461918	212659602	99.1596
NA12892	NA12892_S1_L005	213955162	212160320	99.1611
NA12892	NA12892_S1_L006	210836604	208934117	99.0976
NA12892	NA12892_S1_L007	212240533	210569426	99.2126
